source,target,weight
4007,1333,1
4007,7580,1
4007,2716,1
4007,4358,1
4007,9652,1
4007,7429,1
4007,7491,1
4007,33,1
4007,6746,1
4007,6570,1
4007,9745,1
438,6542,1
438,903,1
438,1401,1
438,5147,1
438,7177,1
438,2035,1
438,9186,1
438,120,1
438,9369,1
438,4942,1
438,4252,1
438,8668,1
438,2051,1
438,2252,1
438,5745,1
438,6329,1
438,5564,1
438,4969,1
438,8302,1
438,6624,1
438,3874,1
438,5049,1
438,3967,1
438,4735,1
438,2064,1
438,2525,1
1022,7273,1
1022,2628,1
1022,7916,1
1022,5686,1
1022,4920,1
1022,368,1
1022,2530,1
1022,4444,1
1022,2779,1
1022,491,1
1022,9487,1
1022,7884,1
1022,7889,1
1022,5519,1
1022,98,1
1022,6115,1
1022,9891,1
1022,1354,1
1022,3095,1
1022,4868,1
1022,4421,1
1022,3529,1
1022,8522,1
1022,4585,1
1022,8408,1
1022,6176,1
1022,1725,1
1022,7640,1
1022,3182,1
1022,6011,1
1022,124,1
1022,4141,1
1022,3035,1
1022,2538,1
1022,6225,1
1022,1706,1
1022,4939,1
1022,7694,1
1022,968,1
1022,7549,1
1022,7966,1
1022,5796,1
1022,4214,1
1022,8172,1
1022,3523,1
1022,8007,1
1022,10018,1
1022,3306,1
1022,3505,1
1022,9101,1
1022,8005,1
1022,9916,1
1022,7506,1
9064,7502,1
9064,3518,1
9064,3364,1
9064,1952,1
9064,458,1
9064,4617,1
9064,158,1
9064,2268,1
9064,7047,1
9064,7459,1
9064,1025,1
9064,7869,1
9064,5361,1
9064,6574,1
9064,1524,1
9064,1316,1
9064,4053,1
9064,8453,1
9064,1935,1
9064,7285,1
9064,3518,1
9064,10178,1
9064,1952,1
9064,6229,1
9064,10353,1
9064,8874,1
9064,1991,1
9064,10330,1
9064,3518,1
9064,8374,1
9064,4273,1
9064,7585,1
9064,1561,1
9064,1872,1
9064,3518,1
9064,8374,1
9064,1952,1
9064,5032,1
3394,6679,1
3394,8699,1
3394,7423,1
3394,1656,1
3394,3673,1
3394,6568,1
3394,5855,1
3394,530,1
10140,3018,1
10140,9793,1
10140,3121,1
10140,2451,1
10140,3615,1
10140,4452,1
10140,4599,1
10140,3617,1
10140,1128,1
10140,1296,1
10140,484,1
10140,2285,1
10140,519,1
10140,9230,1
10140,1972,1
10140,9926,1
10140,9881,1
10140,3639,1
10140,6710,1
10140,9793,1
10140,4852,1
10140,8963,1
5428,4770,1
5428,2285,1
5428,102,1
5428,8987,1
5428,965,1
5428,7341,1
5428,1987,1
5428,926,1
5428,920,1
5428,8516,1
5428,6223,1
5428,1,1
5428,5251,1
5428,2932,1
5428,3606,1
5428,708,1
5428,3133,1
5428,4204,1
6375,3399,1
6375,1416,1
6375,10203,1
10065,8707,1
10065,8739,1
10065,1384,1
10065,8589,1
10065,5224,1
10065,6239,1
10065,9145,1
10065,2512,1
10065,5677,1
10065,1321,1
10065,8031,1
533,1944,1
533,1370,1
533,89,1
533,793,1
533,6888,1
533,5490,1
9071,10000,1
9071,10297,1
9071,4536,1
9071,7933,1
9071,7668,1
9071,6995,1
9071,3985,1
9071,6230,1
9071,2712,1
9071,7161,1
9071,4089,1
9071,6038,1
9071,4167,1
9071,8745,1
9071,500,1
9071,3507,1
9071,809,1
9071,6674,1
9071,4747,1
9071,9153,1
9071,9266,1
9071,5013,1
9071,2397,1
9071,4145,1
9071,8934,1
9071,1505,1
2083,10075,1
2083,5245,1
2083,3561,1
2083,9732,1
9597,7163,1
9597,1692,1
9597,9564,1
9597,548,1
9597,3159,1
9597,4280,1
9597,2919,1
9597,7089,1
9597,7854,1
9406,7449,1
9406,3279,1
9406,4343,1
9406,4707,1
9406,4557,1
9406,6973,1
9406,3869,1
9406,10147,1
9406,5180,1
9406,9754,1
9406,1016,1
9406,3537,1
9406,6887,1
9406,4101,1
9406,10312,1
9406,6705,1
9406,2448,1
9406,4895,1
9406,7806,1
9406,6589,1
9406,1246,1
9406,5532,1
9406,9664,1
9406,6036,1
9406,3620,1
9406,7986,1
9406,6680,1
9406,1236,1
9406,3875,1
9406,4771,1
9406,3532,1
9406,6136,1
9406,2954,1
9406,7674,1
9406,312,1
9406,6692,1
9406,610,1
9406,4482,1
9406,6283,1
9406,3404,1
9406,7304,1
10307,4177,1
10307,10231,1
10307,3121,1
10307,6878,1
10307,683,1
10307,3665,1
10307,552,1
10307,499,1
10307,5265,1
10307,1687,1
10307,8157,1
10307,2174,1
10307,96,1
10307,3829,1
10307,3613,1
10307,2082,1
10307,8482,1
10307,5996,1
10307,7401,1
10307,825,1
10307,8281,1
10307,3636,1
10307,1511,1
10307,7019,1
10307,9374,1
10307,6930,1
10307,7252,1
10307,3311,1
10307,1232,1
10307,203,1
10307,6556,1
10307,4381,1
10307,691,1
10307,5817,1
10307,7100,1
10307,5465,1
10307,2837,1
10307,4724,1
10307,3138,1
10307,1675,1
10307,2905,1
10307,6509,1
10307,6160,1
10307,8878,1
10307,3920,1
10307,3177,1
10307,3406,1
10307,2101,1
10307,888,1
7563,4388,1
7563,7256,1
7563,6216,1
7563,7907,1
7563,1980,1
7563,5882,1
7563,259,1
7563,4189,1
7563,4779,1
7563,363,1
7563,3049,1
7563,1473,1
7563,8173,1
7563,5369,1
7563,3942,1
7563,1698,1
7563,3652,1
7563,3543,1
7563,1650,1
7563,7333,1
7018,952,1
7018,2820,1
7018,6896,1
7018,8187,1
7018,2010,1
7018,1691,1
7018,4732,1
7018,4156,1
7018,9346,1
7018,8353,1
7018,7592,1
7018,1777,1
7018,3344,1
7018,6421,1
7018,4145,1
7018,7847,1
7018,1691,1
7018,1032,1
7018,5125,1
7018,2345,1
7018,9826,1
7018,4231,1
7018,4027,1
7018,9826,1
7018,5971,1
7018,4318,1
7018,10125,1
7018,3371,1
7018,10055,1
7018,5161,1
7018,9471,1
7018,989,1
8471,3395,1
8471,3158,1
8471,6346,1
7506,910,1
7506,275,1
7506,267,1
7506,6187,1
7506,7273,1
7506,2628,1
7506,7916,1
7506,5686,1
7506,4920,1
7506,368,1
7506,2530,1
7506,4444,1
7506,2779,1
7506,491,1
7506,9487,1
7506,7884,1
7506,7889,1
7506,5519,1
7506,98,1
7506,6115,1
7506,9891,1
7506,1354,1
7506,3095,1
7506,4868,1
7506,4421,1
7506,3529,1
7506,8522,1
7506,4585,1
7506,8408,1
7506,6176,1
7506,1725,1
7506,7640,1
7506,3182,1
7506,6011,1
7506,124,1
7506,4141,1
7506,3035,1
7506,2538,1
7506,6225,1
7506,1706,1
7506,4939,1
7506,7694,1
7506,968,1
7506,7549,1
7506,7966,1
7506,5796,1
7506,4214,1
7506,8172,1
7506,3523,1
7506,8007,1
7506,10018,1
7506,3306,1
7506,3505,1
7506,1022,1
7506,9101,1
7506,8005,1
7506,9916,1
193,8138,1
193,5221,1
193,7850,1
193,5442,1
193,6924,1
193,8069,1
193,368,1
193,9773,1
193,6622,1
193,449,1
193,5468,1
193,8288,1
193,7512,1
193,8239,1
193,7637,1
193,8278,1
193,9432,1
193,3095,1
193,8430,1
193,7342,1
193,10291,1
193,7640,1
193,2071,1
193,8472,1
193,9516,1
193,7601,1
193,7268,1
193,2026,1
193,7212,1
193,561,1
193,4130,1
193,5971,1
193,2858,1
193,5781,1
193,416,1
193,6601,1
193,8080,1
193,3569,1
193,1813,1
193,4690,1
193,2135,1
193,9590,1
193,2441,1
193,4084,1
193,674,1
193,9310,1
193,8846,1
193,701,1
193,736,1
193,3128,1
193,67,1
193,1952,1
193,1896,1
193,4036,1
